"Texture","OriginalPath","CopiedPath","Width","Height","BitDepth","Channels","Format","FileSize","Usage","Material","CurrentMaterialReference","sRGB","UnityTextureType","Mipmaps","ReadWrite","PhysicalMaxSize","Notes"
"T_Infantry_A_BaseColor_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_BaseColor_1K.png","Textures/T_Infantry_A_BaseColor_1K.png","1024","1024","8","RGB","PNG","5451","BaseColor","MAT_Infantry_Base","YES","1","Default","1","0","1024","See copied .meta for full platform settings."
"T_Infantry_A_Normal_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_Normal_1K.png","Textures/T_Infantry_A_Normal_1K.png","1024","1024","8","RGB","PNG","5334","Normal","MAT_Infantry_Base","YES","0","NormalMap","1","0","1024","See copied .meta for full platform settings."
"T_Infantry_A_ORM_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_ORM_1K.png","Textures/T_Infantry_A_ORM_1K.png","1024","1024","8","RGB","PNG","5334","ORM packed intent","NONE","NO","0","Default","1","0","1024","See copied .meta for full platform settings."
"T_Infantry_A_TeamColorMask_1K.png","C:\projects\Unity\AegisRTS.FrameworkLab\Assets\AegisRTS\Content\Shared\Art\Units\Infantry\Textures\T_Infantry_A_TeamColorMask_1K.png","Textures/T_Infantry_A_TeamColorMask_1K.png","1024","1024","8","Grayscale","PNG","2760","Team-color mask intent","NONE","NO","0","Default","1","0","1024","See copied .meta for full platform settings."
